fight,redCorner,blueCorner,winner,event,referee,method_of_victory,date,venue,title_fight,billing,redCorner_wins,blueCorner_wins,redCorner_losses,blueCorner_losses,redCorner_draws,blueCorner_draws,redCorner_age,blueCorner_age,redCorner_nation,blueCorner_nation,redCorner_fan,blueCorner_fan,redCorner_knockdowns,blueCorner_knockdowns,redCorner_sig_str,blueCorner_sig_str,redCorner_sig_str_percentage,blueCorner_sig_str_percentage,redCorner_total_str,blueCorner_total_str,redCorner_takedowns,blueCorner_takedowns,redCorner_takedown_percentage,blueCorner_takedown_percentage,redCorner_subs_attempted,blueCorner_subs_attempted,round,time,redCorner_height,blueCorner_height,redCorner_reach,blueCorner_reach,redCorner_stance,blueCorner_stance
Tim Hague vs Pat Barry,Tim Hague,Pat Barry,Tim Hague,UFC 98: Evans vs Machida,Steve Mazzagatti,Submission,05.23.2009,MGM Grand Garden Arena,no,Preliminary Card,9,4,1,0,0,0,25.0,29.0,Canada,,,,0,0,0 of 5,3 of 11,0%,27%,2 of 8,3 of 11,1 of 1,0 of 0,100%,,1,0,1,1:42,"6' 4""","5' 11""","76""","74""",Orthodox,Orthodox
Kyle Bradley vs Phillipe Nover,Kyle Bradley,Phillipe Nover,Kyle Bradley,UFC 98: Evans vs Machida,Yves Lavigne,KO/TKO,05.23.2009,MGM Grand Garden Arena,no,Preliminary Card,13,5,6,1,0,1,26.0,25.0,United States,,,,0,0,7 of 11,3 of 11,63%,27%,7 of 11,3 of 11,1 of 1,0 of 0,100%,,0,0,1,1:03,"5' 9""","5' 9""","71""","72""",Orthodox,Orthodox
Krzysztof Soszynski vs Andre Gusmao,Krzysztof Soszynski,Andre Gusmao,Krzysztof Soszynski,UFC 98: Evans vs Machida,Herb Dean,KO/TKO,05.23.2009,MGM Grand Garden Arena,no,Preliminary Card,22,5,9,1,1,0,31.0,32.0,Poland,,,,1,0,18 of 50,17 of 33,36%,51%,18 of 50,18 of 34,0 of 0,0 of 0,,,0,0,1,3:17,"6' 1""","6' 0""","77""",,Open Stance,Orthodox
Yoshiyuki Yoshida vs Brandon Wolff,Yoshiyuki Yoshida,Brandon Wolff,Yoshiyuki Yoshida,UFC 98: Evans vs Machida,Steve Mazzagatti,Submission,05.23.2009,MGM Grand Garden Arena,no,Preliminary Card,10,7,3,3,0,0,35.0,,Japan,,,,0,0,4 of 6,2 of 5,66%,40%,4 of 6,4 of 7,0 of 0,0 of 1,,0%,1,0,1,2:24,"5' 11""","5' 9""","70""",,Southpaw,Orthodox
George Roop vs David Kaplan,George Roop,David Kaplan,George Roop,UFC 98: Evans vs Machida,Herb Dean,Decision - Split,05.23.2009,MGM Grand Garden Arena,no,Preliminary Card,8,3,4,2,0,0,27.0,29.0,United States,,,,0,0,62 of 226,50 of 105,27%,47%,133 of 302,98 of 158,0 of 0,5 of 14,,35%,0,0,3,5:00,"6' 1""","5' 7""","72""",,Orthodox,Orthodox
Anderson Silva vs Thales Leites,Anderson Silva,Thales Leites,Anderson Silva,UFC 97: Redemption,Yves Lavigne,Decision - Unanimous,04.18.2009,Bell Centre,yes,Main Event,25,14,4,1,0,0,34.0,27.0,Brazil,Brazil,,,0,0,94 of 139,10 of 54,67%,18%,106 of 155,18 of 64,0 of 0,1 of 14,,7%,0,0,5,5:00,"6' 2""","6' 1""","77""","78""",Southpaw,Orthodox
Sam Stout vs Matt Wiman,Sam Stout,Matt Wiman,Sam Stout,UFC 97: Redemption,Dan Miragliotta,Decision - Unanimous,04.18.2009,Bell Centre,no,Preliminary Card,13,10,5,4,1,0,24.0,25.0,Canada,,,,1,0,62 of 186,46 of 104,33%,44%,87 of 219,61 of 119,0 of 0,4 of 11,,36%,0,2,3,5:00,"5' 9""","5' 10""","70""","68""",Orthodox,Orthodox
Mauricio Rua vs Chuck Liddell,Mauricio Rua,Chuck Liddell,Mauricio Rua,UFC 97: Redemption,Mario Yamasaki,KO/TKO,04.18.2009,Bell Centre,no,Co-Main Event,17,21,3,6,0,0,27.0,39.0,Brazil,,,,1,0,24 of 32,8 of 37,75%,21%,25 of 34,8 of 37,0 of 1,1 of 1,0%,100%,0,0,1,4:28,"6' 1""","6' 2""","76""","76""",Orthodox,Orthodox
Krzysztof Soszynski vs Brian Stann,Krzysztof Soszynski,Brian Stann,Krzysztof Soszynski,UFC 97: Redemption,Dan Miragliotta,Submission,04.18.2009,Bell Centre,no,Main Card,21,6,9,1,1,0,31.0,28.0,Poland,,,,0,0,3 of 11,8 of 18,27%,44%,10 of 18,14 of 24,2 of 2,0 of 0,100%,,2,0,1,3:53,"6' 1""","6' 1""","77""","74""",Open Stance,Orthodox
Cheick Kongo vs Antoni Hardonk,Cheick Kongo,Antoni Hardonk,Cheick Kongo,UFC 97: Redemption,Yves Lavigne,KO/TKO,04.18.2009,Bell Centre,no,Main Card,13,8,4,4,1,0,33.0,32.0,France,,,,0,0,53 of 84,9 of 20,63%,45%,80 of 117,9 of 20,2 of 3,0 of 0,66%,,0,0,2,2:29,"6' 4""","6' 4""","82""","78""",Orthodox,Orthodox
Luiz Cane vs Steve Cantwell,Luiz Cane,Steve Cantwell,Luiz Cane,UFC 97: Redemption,Mario Yamasaki,Decision - Unanimous,04.18.2009,Bell Centre,no,Main Card,10,7,1,1,0,0,28.0,22.0,Brazil,,,,0,0,87 of 223,69 of 189,39%,36%,87 of 223,69 of 189,0 of 1,0 of 0,0%,,0,0,3,5:00,"6' 2""","6' 2""","77""","75""",Southpaw,Orthodox
Denis Kang vs Xavier Foupa Pokam,Denis Kang,Xavier Foupa Pokam,Denis Kang,UFC 97: Redemption,Philippe Chartier,Decision - Unanimous,04.18.2009,Bell Centre,no,Preliminary Card,30,20,11,9,1,0,31.0,27.0,Canada,,,,0,0,31 of 65,23 of 53,47%,43%,103 of 141,32 of 62,5 of 6,0 of 0,83%,,1,0,3,5:00,"5' 11""","6' 1""","77""",,Orthodox,Open Stance
Nate Quarry vs Jason MacDonald,Nate Quarry,Jason MacDonald,Nate Quarry,UFC 97: Redemption,Mario Yamasaki,KO/TKO,04.18.2009,Bell Centre,no,Preliminary Card,10,21,3,11,0,0,37.0,33.0,United States,,,,0,0,16 of 34,1 of 1,47%,100%,29 of 47,3 of 5,1 of 1,0 of 1,100%,0%,0,0,1,2:27,"6' 0""","6' 3""","72""","80""",Open Stance,Orthodox
Ed Herman vs David Loiseau,Ed Herman,David Loiseau,Ed Herman,UFC 97: Redemption,Philippe Chartier,Decision - Unanimous,04.18.2009,Bell Centre,no,Preliminary Card,14,18,7,8,0,0,28.0,29.0,United States,,,,0,0,71 of 84,6 of 16,84%,37%,189 of 210,8 of 18,5 of 9,0 of 0,55%,,0,0,3,5:00,"6' 1""","6' 0""","77""","76""",Orthodox,Orthodox
Mark Bocek vs David Bielkheden,Mark Bocek,David Bielkheden,Mark Bocek,UFC 97: Redemption,Dan Miragliotta,Submission,04.18.2009,Bell Centre,no,Preliminary Card,6,13,2,6,0,0,27.0,29.0,Canada,,,,0,0,20 of 43,4 of 5,46%,80%,45 of 68,5 of 6,1 of 2,0 of 0,50%,,1,0,1,4:57,"5' 8""","5' 10""","75""","71""",Orthodox,Orthodox
TJ Grant vs Ryo Chonan,TJ Grant,Ryo Chonan,TJ Grant,UFC 97: Redemption,Philippe Chartier,Decision - Split,04.18.2009,Bell Centre,no,Preliminary Card,13,15,2,9,0,0,25.0,32.0,Canada,,,,0,0,34 of 76,31 of 75,44%,41%,98 of 149,53 of 101,3 of 4,2 of 2,75%,100%,0,0,3,5:00,"5' 10""","5' 9""","72""","70""",Orthodox,Orthodox
Eliot Marshall vs Vinny Magalhaes,Eliot Marshall,Vinny Magalhaes,Eliot Marshall,UFC 97: Redemption,Yves Lavigne,Decision - Unanimous,04.18.2009,Bell Centre,no,Preliminary Card,6,2,1,3,0,0,28.0,24.0,United States,,,,0,0,44 of 164,34 of 148,26%,22%,45 of 165,36 of 150,0 of 0,2 of 3,,66%,0,0,3,5:00,"6' 2""","6' 3""","77""","75""",Orthodox,Orthodox
Martin Kampmann vs Carlos Condit,Martin Kampmann,Carlos Condit,Martin Kampmann,UFC Fight Night: Condit vs Kampmann,Herb Dean,Decision - Split,04.01.2009,Sommet Center,no,Main Event,15,23,2,4,0,0,26.0,24.0,Denmark,,,,0,0,26 of 61,35 of 86,42%,40%,52 of 91,71 of 124,5 of 5,3 of 4,100%,75%,6,3,3,5:00,"6' 0""","6' 2""","72""","75""",Orthodox,Orthodox
Ryan Bader vs Carmelo Marrero,Ryan Bader,Carmelo Marrero,Ryan Bader,UFC Fight Night: Condit vs Kampmann,Dan Miragliotta,Decision - Unanimous,04.01.2009,Sommet Center,no,Main Card,8,10,0,2,0,0,25.0,28.0,United States,,,,0,0,24 of 56,9 of 43,42%,20%,87 of 122,20 of 55,5 of 7,0 of 0,71%,,2,0,3,5:00,"6' 2""","6' 0""","74""","73""",Orthodox,Orthodox
Tyson Griffin vs Rafael dos Anjos,Tyson Griffin,Rafael Dos Anjos,Tyson Griffin,UFC Fight Night: Condit vs Kampmann,Mario Yamasaki,Decision - Unanimous,04.01.2009,Sommet Center,no,Main Card,12,11,2,3,0,0,24.0,24.0,United States,Brazil,,,0,0,69 of 213,26 of 134,32%,19%,101 of 245,29 of 137,1 of 4,0 of 1,25%,0%,0,3,3,5:00,"5' 6""","5' 8""","68""","70""",Orthodox,Southpaw
Cole Miller vs Junie Browning,Cole Miller,Junie Browning,Cole Miller,UFC Fight Night: Condit vs Kampmann,Herb Dean,Submission,04.01.2009,Sommet Center,no,Main Card,14,3,3,0,0,0,24.0,23.0,United States,,,,0,0,3 of 16,1 of 3,18%,33%,5 of 18,1 of 3,0 of 0,0 of 1,,0%,1,0,1,1:58,"6' 1""","5' 9""","73""",,Orthodox,Orthodox
Gleison Tibau vs Jeremy Stephens,Gleison Tibau,Jeremy Stephens,Gleison Tibau,UFC Fight Night: Condit vs Kampmann,Mario Yamasaki,Decision - Unanimous,04.01.2009,Sommet Center,no,Preliminary Card,20,16,5,4,0,0,25.0,22.0,Brazil,,,,0,0,7 of 20,23 of 40,35%,57%,46 of 65,40 of 57,5 of 13,0 of 0,38%,,3,0,3,5:00,"5' 10""","5' 9""","71""","71""",Southpaw,Orthodox
Ricardo Almeida vs Matt Horwich,Ricardo Almeida,Matt Horwich,Ricardo Almeida,UFC Fight Night: Condit vs Kampmann,Dan Miragliotta,Decision - Unanimous,04.01.2009,Sommet Center,no,Preliminary Card,9,24,3,11,0,1,32.0,31.0,United States,,,,0,0,41 of 67,25 of 39,61%,64%,79 of 107,52 of 66,9 of 15,0 of 2,60%,0%,1,3,3,5:00,"6' 0""","6' 1""","74""",,Orthodox,Orthodox
Brock Larson vs Jesse Sanders,Brock Larson,Jesse Sanders,Brock Larson,UFC Fight Night: Condit vs Kampmann,Herb Dean,Submission,04.01.2009,Sommet Center,no,Preliminary Card,27,21,2,4,0,0,31.0,,United States,,,,0,0,13 of 20,0 of 3,65%,0%,30 of 40,0 of 3,1 of 2,0 of 0,50%,,1,0,1,2:01,"5' 11""","6' 0""","71""",,Southpaw,Orthodox
Tim Credeur vs Nick Catone,Tim Credeur,Nick Catone,Tim Credeur,UFC Fight Night: Condit vs Kampmann,Mario Yamasaki,Submission,04.01.2009,Sommet Center,no,Preliminary Card,11,7,2,0,0,0,31.0,27.0,United States,,,,0,0,9 of 39,19 of 37,23%,51%,10 of 40,37 of 56,0 of 0,3 of 3,,100%,7,0,2,3:45,"6' 3""","6' 0""","75""","72""",Orthodox,Southpaw
Jorge Rivera vs Nissen Osterneck,Jorge Rivera,Nissen Osterneck,Jorge Rivera,UFC Fight Night: Condit vs Kampmann,Dan Miragliotta,Decision - Split,04.01.2009,Sommet Center,no,Preliminary Card,16,5,7,1,0,0,37.0,27.0,United States,,,,1,0,29 of 48,35 of 70,60%,50%,61 of 85,74 of 110,4 of 8,1 of 8,50%,12%,0,1,3,5:00,"6' 1""","6' 2""","73""",,Orthodox,Orthodox
Rob Kimmons vs Joe Vedepo,Rob Kimmons,Joe Vedepo,Rob Kimmons,UFC Fight Night: Condit vs Kampmann,Herb Dean,Submission,04.01.2009,Sommet Center,no,Preliminary Card,19,7,4,3,0,0,28.0,26.0,United States,,,,0,0,7 of 15,4 of 12,46%,33%,13 of 21,12 of 20,0 of 0,1 of 1,,100%,2,0,1,1:54,"5' 10""","6' 0""","73""",,Orthodox,Orthodox
